id,length,hadamard_order,family,appendix,pdf_page,paper_metadata,a,b,verified_ngp,verified_hadamard_2n
second_paley_ngp_002,2,4,second_paley,C,24,,1 -1,1 -1,True,True
second_paley_ngp_004,4,8,second_paley,C,24,,1 -1 -1 -1,1 -1 1 -1,True,True
second_paley_ngp_006,6,12,second_paley,C,24,,1 -1 -1 1 -1 -1,1 1 -1 1 -1 -1,True,True
second_paley_ngp_010,10,20,second_paley,C,24,,1 -1 -1 -1 -1 1 -1 -1 -1 -1,1 -1 -1 1 -1 1 -1 1 1 -1,True,True
second_paley_ngp_012,12,24,second_paley,C,24,,1 -1 1 1 1 -1 1 -1 1 1 1 -1,1 -1 1 1 1 1 -1 -1 -1 -1 1 -1,True,True
second_paley_ngp_014,14,28,second_paley,C,24,,1 1 -1 -1 1 1 1 1 1 1 1 -1 -1 1,1 -1 1 -1 1 1 1 -1 -1 -1 1 -1 1 -1,True,True
second_paley_ngp_016,16,32,second_paley,C,24,,1 -1 -1 1 1 -1 1 -1 -1 -1 1 -1 1 1 -1 -1,1 1 1 1 -1 -1 1 -1 1 -1 1 1 -1 -1 -1 -1,True,True
second_paley_ngp_022,22,44,second_paley,C,24,,1 -1 -1 -1 1 -1 -1 1 1 -1 1 -1 1 -1 1 1 -1 -1 1 -1 -1 -1,1 1 1 1 -1 1 -1 -1 1 1 1 -1 -1 -1 1 1 -1 1 -1 -1 -1 -1,True,True
second_paley_ngp_024,24,48,second_paley,C,24,,1 -1 1 1 -1 1 -1 -1 -1 1 1 1 -1 1 1 1 -1 -1 -1 1 -1 1 1 -1,1 -1 1 -1 1 1 1 1 1 1 -1 -1 1 1 -1 -1 -1 -1 -1 -1 1 -1 1 -1,True,True
second_paley_ngp_030,30,60,second_paley,C,24,,1 -1 1 -1 1 -1 -1 -1 1 -1 -1 -1 -1 -1 1 1 1 -1 -1 -1 -1 -1 1 -1 -1 -1 1 -1 1 -1,1 -1 -1 1 -1 -1 -1 1 1 1 1 -1 1 1 -1 1 -1 -1 1 -1 -1 -1 -1 1 1 1 -1 1 1 -1,True,True
second_paley_ngp_034,34,68,second_paley,C,24,,1 -1 1 1 1 -1 1 -1 1 -1 -1 1 -1 -1 -1 -1 1 1 1 -1 -1 -1 -1 1 -1 -1 1 -1 1 -1 1 1 1 -1,1 1 -1 1 1 1 1 1 -1 -1 -1 1 -1 -1 1 1 -1 1 -1 -1 1 1 -1 1 1 1 -1 -1 -1 -1 -1 1 -1 -1,True,True
second_paley_ngp_036,36,72,second_paley,C,24,,1 -1 -1 -1 -1 -1 1 1 -1 1 -1 1 1 1 1 -1 1 1 1 1 1 -1 1 1 1 1 -1 1 -1 1 1 -1 -1 -1 -1 -1,1 -1 1 -1 -1 1 1 -1 -1 1 -1 -1 -1 1 1 1 -1 1 -1 1 -1 -1 -1 1 1 1 -1 1 1 -1 -1 1 1 -1 1 -1,True,True
second_paley_ngp_040,40,80,second_paley,C,24,,1 -1 1 -1 -1 -1 -1 1 -1 1 -1 -1 -1 1 -1 -1 -1 -1 1 1 -1 1 1 -1 -1 -1 -1 1 -1 -1 -1 1 -1 1 -1 -1 -1 -1 1 -1,1 -1 1 1 1 1 -1 -1 -1 -1 -1 1 1 -1 -1 1 1 -1 1 -1 1 -1 1 -1 -1 1 1 -1 -1 1 1 1 1 1 -1 -1 -1 -1 1 -1,True,True
second_paley_ngp_042,42,84,second_paley,C,24,,1 -1 1 1 1 1 1 -1 -1 1 -1 1 1 1 1 -1 1 1 -1 -1 1 1 1 -1 -1 1 1 -1 1 1 1 1 -1 1 -1 -1 1 1 1 1 1 -1,1 -1 -1 1 -1 1 -1 1 -1 1 1 -1 -1 -1 -1 1 -1 -1 -1 -1 -1 1 1 1 1 1 -1 1 1 1 1 -1 -1 1 -1 1 -1 1 -1 1 1 -1,True,True
